Silkbase_id,NCBI_id,TF,KEGG_id,Silkbase_description,GO_description,KEGG_description
KWMTBOMO00001,LOC101740329,_,101745414,PREDICTED:_uncharacterized_protein_LOC106648510_[Trichogramma_pretiosum],GO:0003676|nucleic acid binding|molecular function;GO:0015074|DNA integration|biological process,NA
KWMTBOMO00002,NA,_,101742912,PREDICTED:_uncharacterized_protein_LOC101742912_[Bombyx_mori],-,NA
KWMTBOMO00003,LOC101741181,_,101741181,PREDICTED:_anion_exchange_protein_3_isoform_X2_[Bombyx_mori],GO:0005452|inorganic anion exchanger activity|molecular function;GO:0006820|anion transport|biological process;GO:0008509|anion transmembrane transporter activity|molecular function;GO:0016020|membrane|cellular component;GO:0016021|integral component of membrane|cellular component,NA
KWMTBOMO00004,LOC101739479,_,101739479,PREDICTED:_tyrosine-protein_kinase_Abl_isoform_X3_[Bombyx_mori],-,tyrosine-protein kinase Abl isoform X1sK06619 ABL1; abelson tyrosine-protein kinase 1 [EC:2.7.10.2]
KWMTBOMO00005,NA,_,101739479,PREDICTED:_tyrosine-protein_kinase_Abl_isoform_X1_[Bombyx_mori],GO:0004672|protein kinase activity|molecular function;GO:0004713|protein tyrosine kinase activity|molecular function;GO:0005515|protein binding|molecular function;GO:0005524|ATP binding|molecular function;GO:0006468|protein phosphorylation|biological process,tyrosine-protein kinase Abl isoform X1sK06619 ABL1; abelson tyrosine-protein kinase 1 [EC:2.7.10.2]
KWMTBOMO00006,LOC101741407,_,101741407,PREDICTED:_alpha-tubulin_N-acetyltransferase_1-like_isoform_X2_[Bombyx_mori],GO:0005874|microtubule|cellular component;GO:0019799|tubulin N-acetyltransferase activity|molecular function;GO:0071929|alpha-tubulin acetylation|biological process,alpha-tubulin N-acetyltransferase isoform X1sK19573 ATAT1; alpha-tubulin N-acetyltransferase 1 [EC:2.3.1.108]
KWMTBOMO00007,LOC101739615,_,101739615,PREDICTED:_adenylate_cyclase_type_6_[Bombyx_mori],GO:0004016|adenylate cyclase activity|molecular function;GO:0005886|plasma membrane|cellular component;GO:0006171|cAMP biosynthetic process|biological process;GO:0009190|cyclic nucleotide biosynthetic process|biological process;GO:0016849|phosphorus-oxygen lyase activity|molecular function;GO:0035556|intracellular signal transduction|biological process,adenylate cyclase type 6sK08045 ADCY5; adenylate cyclase 5 [EC:4.6.1.1]
KWMTBOMO00008,NA,_,105842661,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO00009,NA,_,105842511,PREDICTED:_adenylate_cyclase_type_6_[Amyelois_transitella],-,NA
KWMTBOMO00010,NA,_,105842661,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO00011,LOC101741740,_,101741740,PREDICTED:_SET_and_MYND_domain-containing_protein_4_isoform_X2_[Bombyx_mori],GO:0005515|protein binding|molecular function,NA
KWMTBOMO00012,NA,_,105842496,PREDICTED:_protein_DDI1_homolog_[Bombyx_mori],-,NA
KWMTBOMO00013,NA,_,100379508,NA,-,NA
KWMTBOMO00014,NA,_,NA,Yokozuna_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function;GO:0004190|aspartic-type endopeptidase activity|molecular function;GO:0006508|proteolysis|biological process;GO:0008270|zinc ion binding|molecular function;GO:0015074|DNA integration|biological process,NA
KWMTBOMO00015,LOC101739758,_,101739758,"PREDICTED:_proline-,_glutamic_acid-_and_leucine-rich_protein_1-like_[Bombyx_mori]",-,NA
KWMTBOMO00016,NA,_,101743194,Transposon_Ty3-G_Gag-Pol_polyprotein_[Papilio_machaon],GO:0003676|nucleic acid binding|molecular function;GO:0008270|zinc ion binding|molecular function;GO:0015074|DNA integration|biological process,NA
KWMTBOMO00017,LOC101741886,_,105841884,PREDICTED:_uncharacterized_protein_LOC105841884_[Bombyx_mori],-,NA
KWMTBOMO00018,LOC101742177,_,NA,PREDICTED:_uncharacterized_protein_LOC106133815_[Amyelois_transitella],-,NA
KWMTBOMO00019,tan,_,100384889,PREDICTED:_tan_protein_isoform_X1_[Bombyx_mori],-,NA
KWMTBOMO00020,LOC101742318,_,101742318,PREDICTED:_selenoprotein_K-like_[Papilio_polytes],-,NA
